id,label,weight,n_classes,n_labels,length,allow_unlabeled,sparse,return_indicator,return_distributions,random_state
114,3,100,0,10,0, False, False, 'dense', True, 'None'
115,4,100,10,2,2, True, False, 'dense', False, 'int'
116,4,100,10,2,2, True, False, 'dense', False, 'int'
117,4,100,10,2,2, True, False, 'dense', False, 'int'
118,4,100,10,2,2, True, False, 'dense', False, 'int'
119,4,100,10,2,2, True, False, 'dense', False, 'int'
120,4,100,10,2,2, True, False, 'dense', False, 'int'
121,4,100,10,2,2, True, False, 'dense', False, 'int'
122,4,100,10,2,2, True, False, 'dense', False, 'int'
123,4,100,10,2,2, True, False, 'dense', False, 'int'
124,4,100,10,2,2, True, False, 'dense', False, 'int'
125,4,100,10,2,2, True, False, 'dense', False, 'int'
126,4,100,10,2,2, True, False, 'dense', False, 'int'
127,4,100,10,2,2, True, False, 'dense', False, 'int'
128,4,100,10,2,2, True, False, 'dense', False, 'int'
129,4,100,10,2,2, True, False, 'dense', False, 'int'
130,4,100,10,2,2, True, False, 'dense', False, 'int'
131,4,100,10,2,2, True, False, 'dense', False, 'int'
132,4,100,10,2,2, True, False, 'dense', False, 'int'
133,4,100,10,2,2, True, False, 'dense', False, 'int'
134,3,100,10,0,0, False, True, 'dense', True, 'int'
135,3,100,10,0,0, False, True, 'dense', True, 'int'
136,3,100,10,0,0, False, True, 'dense', True, 'int'
137,3,100,10,0,0, False, True, 'dense', True, 'int'
138,3,100,10,0,0, False, True, 'dense', True, 'int'
139,3,100,10,0,0, False, True, 'dense', True, 'int'
140,3,100,10,0,0, False, True, 'dense', True, 'int'
141,3,100,10,0,0, False, True, 'dense', True, 'int'
142,3,100,10,0,0, False, True, 'dense', True, 'int'
143,3,100,10,0,0, False, True, 'dense', True, 'int'
144,3,100,10,0,0, False, True, 'dense', True, 'int'
145,3,100,10,0,0, False, True, 'dense', True, 'int'
146,3,100,10,0,0, False, True, 'dense', True, 'int'
147,3,100,10,0,0, False, True, 'dense', True, 'int'
148,3,100,10,0,0, False, True, 'dense', True, 'int'
149,3,100,10,0,0, False, True, 'dense', True, 'int'
150,3,100,10,0,0, False, True, 'dense', True, 'int'
151,3,100,10,0,0, False, True, 'dense', True, 'int'
152,3,100,10,0,0, False, True, 'dense', True, 'int'
153,6,100,5,2,50, True, True, 'dense', True, 'int'
154,6,100,5,2,50, True, True, 'dense', True, 'int'
155,6,100,5,2,50, True, True, 'dense', True, 'int'
156,6,100,5,2,50, True, True, 'dense', True, 'int'
157,6,100,5,2,50, True, True, 'dense', True, 'int'
158,6,100,5,2,50, True, True, 'dense', True, 'int'
159,6,100,5,2,50, True, True, 'dense', True, 'int'
160,6,100,5,2,50, True, True, 'dense', True, 'int'
161,6,100,5,2,50, True, True, 'dense', True, 'int'
162,6,100,5,2,50, True, True, 'dense', True, 'int'
163,6,100,5,2,50, True, True, 'dense', True, 'int'
164,6,100,5,2,50, True, True, 'dense', True, 'int'
165,6,100,5,2,50, True, True, 'dense', True, 'int'
166,6,100,5,2,50, True, True, 'dense', True, 'int'
167,6,100,5,2,50, True, True, 'dense', True, 'int'
168,6,100,5,2,50, True, True, 'dense', True, 'int'
169,6,100,5,2,50, True, True, 'dense', True, 'int'
170,6,100,5,2,50, True, True, 'dense', True, 'int'
171,6,100,5,2,50, True, True, 'dense', True, 'int'
172,3,100,1,10,0, True, True, 'dense', False, 'None'
173,3,100,1,10,0, True, True, 'dense', False, 'None'
174,3,100,1,10,0, True, True, 'dense', False, 'None'
175,3,100,1,10,0, True, True, 'dense', False, 'None'
176,3,100,1,10,0, True, True, 'dense', False, 'None'
177,3,100,1,10,0, True, True, 'dense', False, 'None'
178,3,100,1,10,0, True, True, 'dense', False, 'None'
179,3,100,1,10,0, True, True, 'dense', False, 'None'
180,3,100,1,10,0, True, True, 'dense', False, 'None'
181,3,100,1,10,0, True, True, 'dense', False, 'None'
182,3,100,1,10,0, True, True, 'dense', False, 'None'
183,3,100,1,10,0, True, True, 'dense', False, 'None'
184,3,100,1,10,0, True, True, 'dense', False, 'None'
185,3,100,1,10,0, True, True, 'dense', False, 'None'
186,3,100,1,10,0, True, True, 'dense', False, 'None'
187,3,100,1,10,0, True, True, 'dense', False, 'None'
188,3,100,1,10,0, True, True, 'dense', False, 'None'
189,3,100,1,10,0, True, True, 'dense', False, 'None'
190,3,100,1,10,0, True, True, 'dense', False, 'None'
191,3,100,0,2,0, False, False, 'dense', True, 'None'
192,3,100,0,2,0, False, False, 'dense', True, 'None'
193,3,100,0,2,0, False, False, 'dense', True, 'None'
194,3,100,0,2,0, False, False, 'dense', True, 'None'
195,3,100,0,2,0, False, False, 'dense', True, 'None'
196,3,100,0,2,0, False, False, 'dense', True, 'None'
197,3,100,0,2,0, False, False, 'dense', True, 'None'
198,3,100,0,2,0, False, False, 'dense', True, 'None'
199,3,100,0,2,0, False, False, 'dense', True, 'None'
200,3,100,0,2,0, False, False, 'dense', True, 'None'
201,3,100,0,2,0, False, False, 'dense', True, 'None'
202,3,100,0,2,0, False, False, 'dense', True, 'None'
203,3,100,0,2,0, False, False, 'dense', True, 'None'
204,3,100,0,2,0, False, False, 'dense', True, 'None'
205,3,100,0,2,0, False, False, 'dense', True, 'None'
206,3,100,0,2,0, False, False, 'dense', True, 'None'
207,3,100,0,2,0, False, False, 'dense', True, 'None'
208,3,100,0,2,0, False, False, 'dense', True, 'None'
209,3,100,0,2,0, False, False, 'dense', True, 'None'
210,6,100,5,5,50, False, False, 'sparse', True, 'int'
211,6,100,5,5,50, False, False, 'sparse', True, 'int'
212,6,100,5,5,50, False, False, 'sparse', True, 'int'
213,6,100,5,5,50, False, False, 'sparse', True, 'int'
214,6,100,5,5,50, False, False, 'sparse', True, 'int'
215,6,100,5,5,50, False, False, 'sparse', True, 'int'
216,6,100,5,5,50, False, False, 'sparse', True, 'int'
217,6,100,5,5,50, False, False, 'sparse', True, 'int'
218,6,100,5,5,50, False, False, 'sparse', True, 'int'
219,6,100,5,5,50, False, False, 'sparse', True, 'int'
220,6,100,5,5,50, False, False, 'sparse', True, 'int'
221,6,100,5,5,50, False, False, 'sparse', True, 'int'
222,6,100,5,5,50, False, False, 'sparse', True, 'int'
223,6,100,5,5,50, False, False, 'sparse', True, 'int'
224,6,100,5,5,50, False, False, 'sparse', True, 'int'
225,6,100,5,5,50, False, False, 'sparse', True, 'int'
226,6,100,5,5,50, False, False, 'sparse', True, 'int'
227,6,100,5,5,50, False, False, 'sparse', True, 'int'
228,6,100,5,5,50, False, False, 'sparse', True, 'int'
229,6,100,10,2,50, False, True, 'False', True, 'int'
230,6,100,10,2,50, False, True, 'False', True, 'int'
231,6,100,10,2,50, False, True, 'False', True, 'int'
232,6,100,10,2,50, False, True, 'False', True, 'int'
233,6,100,10,2,50, False, True, 'False', True, 'int'
234,6,100,10,2,50, False, True, 'False', True, 'int'
235,6,100,10,2,50, False, True, 'False', True, 'int'
236,6,100,10,2,50, False, True, 'False', True, 'int'
237,6,100,10,2,50, False, True, 'False', True, 'int'
238,6,100,10,2,50, False, True, 'False', True, 'int'
239,6,100,10,2,50, False, True, 'False', True, 'int'
240,6,100,10,2,50, False, True, 'False', True, 'int'
241,6,100,10,2,50, False, True, 'False', True, 'int'
242,6,100,10,2,50, False, True, 'False', True, 'int'
243,6,100,10,2,50, False, True, 'False', True, 'int'
244,6,100,10,2,50, False, True, 'False', True, 'int'
245,6,100,10,2,50, False, True, 'False', True, 'int'
246,6,100,10,2,50, False, True, 'False', True, 'int'
247,6,100,10,2,50, False, True, 'False', True, 'int'
248,6,100,0,5,50, True, False, 'sparse', True, 'None'
249,6,100,0,5,50, True, False, 'sparse', True, 'None'
250,6,100,0,5,50, True, False, 'sparse', True, 'None'
251,6,100,0,5,50, True, False, 'sparse', True, 'None'
252,6,100,0,5,50, True, False, 'sparse', True, 'None'
253,6,100,0,5,50, True, False, 'sparse', True, 'None'
254,6,100,0,5,50, True, False, 'sparse', True, 'None'
255,6,100,0,5,50, True, False, 'sparse', True, 'None'
256,6,100,0,5,50, True, False, 'sparse', True, 'None'
257,6,100,0,5,50, True, False, 'sparse', True, 'None'
258,6,100,0,5,50, True, False, 'sparse', True, 'None'
259,6,100,0,5,50, True, False, 'sparse', True, 'None'
260,6,100,0,5,50, True, False, 'sparse', True, 'None'
261,6,100,0,5,50, True, False, 'sparse', True, 'None'
262,6,100,0,5,50, True, False, 'sparse', True, 'None'
263,6,100,0,5,50, True, False, 'sparse', True, 'None'
264,6,100,0,5,50, True, False, 'sparse', True, 'None'
265,6,100,0,5,50, True, False, 'sparse', True, 'None'
266,6,100,0,5,50, True, False, 'sparse', True, 'None'
267,4,100,2,0,50, True, True, 'False', False, 'None'
268,4,100,2,0,50, True, True, 'False', False, 'None'
269,4,100,2,0,50, True, True, 'False', False, 'None'
270,4,100,2,0,50, True, True, 'False', False, 'None'
271,4,100,2,0,50, True, True, 'False', False, 'None'
272,4,100,2,0,50, True, True, 'False', False, 'None'
273,4,100,2,0,50, True, True, 'False', False, 'None'
274,4,100,2,0,50, True, True, 'False', False, 'None'
275,4,100,2,0,50, True, True, 'False', False, 'None'
276,4,100,2,0,50, True, True, 'False', False, 'None'
277,4,100,2,0,50, True, True, 'False', False, 'None'
278,4,100,2,0,50, True, True, 'False', False, 'None'
279,4,100,2,0,50, True, True, 'False', False, 'None'
280,4,100,2,0,50, True, True, 'False', False, 'None'
281,4,100,2,0,50, True, True, 'False', False, 'None'
282,4,100,2,0,50, True, True, 'False', False, 'None'
283,4,100,2,0,50, True, True, 'False', False, 'None'
284,4,100,2,0,50, True, True, 'False', False, 'None'
285,4,100,2,0,50, True, True, 'False', False, 'None'
286,5,100,5,2,50, True, True, 'dense', False, 'int'
287,5,100,5,2,50, True, True, 'dense', False, 'int'
