size,time,label,result
701,1351,1,TRUE
801,1410,1,TRUE
901,1444,1,TRUE
1001,1500,1,TRUE
1101,1548,1,TRUE
1201,1604,1,TRUE
1301,1653,1,TRUE
1401,1704,1,TRUE
1501,1744,1,TRUE
1601,1784,1,TRUE
1701,1852,1,TRUE
1801,1884,1,TRUE
1901,1937,1,TRUE
2001,1999,1,TRUE
2101,2028,1,TRUE
2201,2076,1,TRUE
2301,2142,1,TRUE
2401,2183,1,TRUE
2501,2231,1,TRUE
2601,2297,1,TRUE
2701,2325,1,TRUE
2801,2360,1,TRUE
2901,2432,1,TRUE
3001,2468,1,TRUE
3101,2529,1,TRUE
3201,2578,1,TRUE
3301,2605,1,TRUE
3401,2652,1,TRUE
3501,2724,1,TRUE
3601,2756,1,TRUE
3701,2798,1,TRUE
3801,2875,1,TRUE
3901,2897,1,TRUE
4001,2934,1,TRUE
4101,3023,1,TRUE
4201,3052,1,TRUE
4301,3087,1,TRUE
4401,3161,1,TRUE
4501,3182,1,TRUE
4601,3221,1,TRUE
4701,3306,1,TRUE
4801,3321,1,TRUE
4901,3376,1,TRUE
5001,3451,1,TRUE
5101,3474,1,TRUE
5201,3522,1,TRUE
5301,3604,1,TRUE
5401,3630,1,TRUE
5501,3666,1,TRUE
5601,3738,1,TRUE
5701,3766,1,TRUE
5801,3812,1,TRUE
5901,3885,1,TRUE
6001,3914,1,TRUE
6101,3953,1,TRUE
6201,4027,1,TRUE
6301,4046,1,TRUE
6401,4093,1,TRUE
6501,4174,1,TRUE
6601,4196,1,TRUE
6701,4246,1,TRUE
6801,4316,1,TRUE
6901,4349,1,TRUE
7001,4374,1,TRUE
7101,4456,1,TRUE
7201,4488,1,TRUE
7301,4530,1,TRUE
7401,4592,1,TRUE
7501,4635,1,TRUE
7601,4668,1,TRUE
7701,4737,1,TRUE
7801,4778,1,TRUE
7901,4814,1,TRUE
8001,4886,1,TRUE
8101,4910,1,TRUE
8201,4959,1,TRUE
8301,5026,1,TRUE
8401,5064,1,TRUE
8501,5107,1,TRUE
8601,5180,1,TRUE
8701,5203,1,TRUE
8801,5242,1,TRUE
8901,5327,1,TRUE
9001,5348,1,TRUE
9101,5388,1,TRUE
9201,5463,1,TRUE
9301,5492,1,TRUE
9401,5531,1,TRUE
9501,5990,1,TRUE
9601,5695,1,TRUE
9701,5675,1,TRUE
9801,5731,1,TRUE
9901,5768,1,TRUE
10000,5825,1,TRUE
1,1567,2,TRUE
101,56088,2,TRUE
201,109066,2,TRUE
301,161931,2,TRUE
401,214158,2,TRUE
501,266735,2,TRUE
601,319473,2,TRUE
701,369117,2,TRUE
801,418795,2,TRUE
901,471426,2,TRUE
1001,524465,2,TRUE
1101,579034,2,TRUE
1201,625449,2,TRUE
1301,676566,2,TRUE
1401,728295,2,TRUE
1501,781591,2,TRUE
1601,832291,2,TRUE
1701,885818,2,TRUE
1801,937324,2,TRUE
1901,990886,2,TRUE
2001,1040622,2,TRUE
2101,1094084,2,TRUE
2201,1145232,2,TRUE
2301,1194143,2,TRUE
2401,1252722,2,TRUE
2501,1298076,2,TRUE
2601,1348296,2,TRUE
2701,1409333,2,TRUE
2801,1455210,2,TRUE
2901,1505837,2,TRUE
3001,1563544,2,TRUE
3101,1606944,2,TRUE
3201,1659921,2,TRUE
3301,1706364,2,TRUE
3401,1771782,2,TRUE
3501,1817213,2,TRUE
3601,1875194,2,TRUE
3701,1921072,2,TRUE
3801,1969500,2,TRUE
3901,2017649,2,TRUE
4001,2074217,2,TRUE
4101,2161631,2,TRUE
4201,2177732,2,TRUE
4301,2242667,2,TRUE
4401,2289275,2,TRUE
4501,2376774,2,TRUE
4601,2417218,2,TRUE
4701,2443617,2,TRUE
4801,2493320,2,TRUE
4901,2599508,2,TRUE
5001,2625302,2,TRUE
5101,2654037,2,TRUE
5201,2704163,2,TRUE
5301,2796759,2,TRUE
5401,2832386,2,TRUE
5501,2856320,2,TRUE
5601,2889015,2,TRUE
5701,2967461,2,TRUE
5801,3004966,2,TRUE
5901,3067071,2,TRUE
6001,3120044,2,TRUE
6101,3187092,2,TRUE
6201,3225401,2,TRUE
6301,3280896,2,TRUE
6401,3329697,2,TRUE
6501,3378935,2,TRUE
6601,3441822,2,TRUE
6701,3484309,2,TRUE
6801,3533491,2,TRUE
6901,3589559,2,TRUE
7001,3638035,2,TRUE
7101,3690501,2,TRUE
7201,3742358,2,TRUE
7301,3796648,2,TRUE
7401,3861474,2,TRUE
7501,3895899,2,TRUE
7601,3945987,2,TRUE
7701,4001338,2,TRUE
7801,4049884,2,TRUE
7901,4104348,2,TRUE
8001,4159072,2,TRUE
8101,4206508,2,TRUE
8201,4254671,2,TRUE
8301,4306808,2,TRUE
8401,4361537,2,TRUE
8501,4409450,2,TRUE
8601,4467935,2,TRUE
8701,4515779,2,TRUE
8801,4568684,2,TRUE
8901,4620479,2,TRUE
9001,4668759,2,TRUE
9101,4718478,2,TRUE
9201,4782143,2,TRUE
9301,4826604,2,TRUE
9401,4875071,2,TRUE
9501,4928682,2,TRUE
9601,4978931,2,TRUE
9701,5039469,2,TRUE
9801,5089056,2,TRUE
9901,5139572,2,TRUE
10000,5194990,2,TRUE
1,1019,3,TRUE
101,1077,3,TRUE
201,1111,3,TRUE
301,1152,3,TRUE
401,1215,3,TRUE
501,1253,3,TRUE
601,1299,3,TRUE
701,1369,3,TRUE
801,1392,3,TRUE
901,1448,3,TRUE
1001,1511,3,TRUE
1101,1547,3,TRUE
1201,1578,3,TRUE
1301,1650,3,TRUE
1401,1677,3,TRUE
1501,1733,3,TRUE
1601,1802,3,TRUE
1701,1826,3,TRUE
1801,1873,3,TRUE
1901,1951,3,TRUE
2001,1975,3,TRUE
