size,time,label,result
35000,310135,12,FALSE
40000,351874,12,FALSE
45000,397227,12,FALSE
50000,439076,12,FALSE
55000,484203,12,FALSE
60000,532991,12,FALSE
65000,575977,12,FALSE
70000,620981,12,FALSE
75000,664344,12,FALSE
80000,708150,12,FALSE
85000,757040,12,FALSE
90000,816837,12,FALSE
95000,843893,12,FALSE
100000,886686,12,FALSE
10000,311747,13,FALSE
15000,457223,13,FALSE
20000,616037,13,FALSE
25000,761384,13,FALSE
30000,898436,13,FALSE
35000,1072637,13,FALSE
40000,1185547,13,FALSE
45000,1344447,13,FALSE
50000,1527612,13,FALSE
55000,1664343,13,FALSE
60000,1803420,13,FALSE
65000,1966814,13,FALSE
70000,2091094,13,FALSE
75000,2295873,13,FALSE
80000,2404331,13,FALSE
85000,2576086,13,FALSE
90000,2753121,13,FALSE
95000,2869574,13,FALSE
100000,3018547,13,FALSE
10000,47542,14,TRUE
15000,68141,14,TRUE
20000,89430,14,TRUE
25000,110903,14,TRUE
30000,132775,14,TRUE
35000,153662,14,TRUE
40000,176733,14,TRUE
45000,197205,14,TRUE
50000,218519,14,TRUE
55000,240236,14,TRUE
60000,266959,14,TRUE
65000,286817,14,TRUE
70000,309441,14,TRUE
75000,345847,14,TRUE
80000,353278,14,TRUE
85000,373533,14,TRUE
90000,395330,14,TRUE
95000,421579,14,TRUE
100000,445407,14,TRUE
10000,98794,15,TRUE
15000,150355,15,TRUE
20000,200671,15,TRUE
25000,249080,15,TRUE
30000,301698,15,TRUE
35000,353687,15,TRUE
40000,404551,15,TRUE
45000,454829,15,TRUE
50000,500905,15,TRUE
55000,552410,15,TRUE
60000,608295,15,TRUE
65000,677940,15,TRUE
70000,711116,15,TRUE
75000,761913,15,TRUE
80000,810158,15,TRUE
85000,871245,15,TRUE
90000,923260,15,TRUE
95000,982271,15,TRUE
100000,1030261,15,TRUE
10000,320419,16,TRUE
15000,450356,16,TRUE
20000,597796,16,TRUE
25000,755118,16,TRUE
30000,890312,16,TRUE
35000,1042121,16,TRUE
40000,1204155,16,TRUE
45000,1367763,16,TRUE
50000,1508732,16,TRUE
55000,1644281,16,TRUE
60000,1800136,16,TRUE
65000,1927594,16,TRUE
70000,2083542,16,TRUE
75000,2246839,16,TRUE
80000,2389614,16,TRUE
85000,2541648,16,TRUE
90000,2693139,16,TRUE
95000,2881330,16,TRUE
100000,2986914,16,TRUE
10000,116921,17,TRUE
15000,174524,17,TRUE
20000,251530,17,TRUE
25000,328536,17,TRUE
30000,405542,17,TRUE
35000,482548,17,TRUE
