id,samples,features,info,class,n_jobs,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,iteration,mutli-class
72,81000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
73,82000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
74,83000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
75,84000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
76,85000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
77,86000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
78,87000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
79,88000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
80,89000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
81,90000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
82,91000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
83,92000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
84,93000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
85,94000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
86,95000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
87,96000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
88,97000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
89,98000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
90,99000,5,2,2,1, 'saga', 'l2', False,0,0.01, True,2,100, 'ovr'
91,10000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
92,11000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
93,12000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
94,13000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
95,14000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
96,15000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
97,16000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
98,17000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
99,18000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
100,19000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
101,20000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
102,21000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
103,22000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
104,23000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
105,24000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
106,25000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
107,26000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
108,27000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
109,28000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
110,29000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
111,30000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
112,31000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
113,32000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
114,33000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
115,34000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
116,35000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
117,36000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
118,37000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
119,38000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
120,39000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
121,40000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
122,41000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
123,42000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
124,43000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
125,44000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
126,45000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
127,46000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
128,47000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
129,48000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
130,49000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
131,50000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
132,51000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
133,52000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
134,53000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
135,54000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
136,55000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
137,56000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
138,57000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
139,58000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
140,59000,20,2,2,6, 'saga', 'l2', True,1,10, True,10,100, 'auto'
