id,label,weight,info,class,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,mutli-class
81,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
82,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
83,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
84,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
85,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
86,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
87,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
88,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
89,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
90,2,100,2,2, 'saga', 'l2', False,0,0.01, True,2, 'ovr'
91,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
92,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
93,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
94,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
95,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
96,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
97,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
98,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
99,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
100,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
101,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
102,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
103,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
104,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
105,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
106,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
107,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
108,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
109,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
110,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
111,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
112,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
113,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
114,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
115,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
116,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
117,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
118,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
119,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
120,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
121,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
122,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
123,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
124,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
125,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
126,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
127,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
128,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
129,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
130,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
131,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
132,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
133,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
134,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
135,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
136,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
137,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
138,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
139,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
140,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
141,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
142,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
143,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
144,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
145,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
146,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
147,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
148,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
149,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
150,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
151,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
152,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
153,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
154,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
155,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
156,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
157,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
158,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
159,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
160,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
161,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
162,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
163,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
164,5,100,2,2, 'saga', 'l2', True,1,10, True,10, 'auto'
